time	Temperature	Snet	VPD	WS	Rainfall
2004-01-01T00:00:00Z	24.3336556246889	0	0.18727011696812043	2.914838499634533	0.39756528950984743
2004-01-01T01:00:00Z	24.145153628467767	0	0.15403173345838606	2.842301895317214	1.0741698031201155
2004-01-01T02:00:00Z	23.905883246262874	0	0.16443740941029228	2.6017876170764644	2.3040417438260454
2004-01-01T03:00:00Z	23.754320587558254	0	0.12100723340973536	2.5286594451956153	3.312606713693709
2004-01-01T04:00:00Z	23.360981611691614	0	0.0017799420628471126	2.9186306069799257	4.074060144977146
2004-01-01T05:00:00Z	23.942080084532847	0	0.15023573990766773	3.251103618991997	4.698180791985455
2004-01-01T06:00:00Z	23.771398070229225	0	0.12666731837083625	3.073653570092413	5.150416775872343
2004-01-01T07:00:00Z	24.144225504409576	1.726980342388981	0.2070606263397999	3.24245736802111	5.367787456715461
2004-01-01T08:00:00Z	23.993590969763147	46.86396656391935	0.13506299748802075	3.598577680875104	6.963297001415045
2004-01-01T09:00:00Z	24.581650373040873	111.54723029703472	0.13148401058649098	2.8991951654260784	7.533621685156343
2004-01-01T10:00:00Z	25.227717529956294	194.75628315759485	0.17231232375265335	3.021355683717272	7.905382406920226
2004-01-01T11:00:00Z	25.877125933481295	325.53579454032473	0.19812265452504835	2.933251326434411	8.632721324912389
2004-01-01T12:00:00Z	25.905619342068178	283.77426989710034	0.23581495940656577	2.603028660139791	10.12588732973815
2004-01-01T13:00:00Z	25.658831154991844	216.6575338633462	0.31965434058109987	3.0708492339648803	11.343513034903623
2004-01-01T14:00:00Z	26.21208590608694	303.94854026046255	0.4053454474656828	3.369636628882267	11.573129951287198
2004-01-01T15:00:00Z	26.927112680526932	411.33531791446876	0.5624921245161513	3.8300087432935186	11.780878589919956
2004-01-01T16:00:00Z	27.583110764865182	358.5839183651324	0.8901239131466295	3.1364247257166387	11.792250094350383
2004-01-01T17:00:00Z	27.040436628033547	192.0873135375391	0.7351439883979078	2.8547007024356836	11.792250094350383
2004-01-01T18:00:00Z	26.515489660713683	90.11697423011674	0.5875747085324596	3.0337047965805914	11.792250094350383
2004-01-01T19:00:00Z	26.078992916140578	7.614413327805778	0.5286026311999718	3.139038235635105	11.793562191015429
2004-01-01T20:00:00Z	25.943486803642884	0	0.5294665580120745	3.194507604976116	11.852606540942636
2004-01-01T21:00:00Z	25.89958653568982	0	0.538979428675867	3.185856078239645	11.853918637607684
2004-01-01T22:00:00Z	25.83925847190659	0	0.5434797841063796	3.1425453150915645	4.373655550175132e-4
2004-01-01T23:00:00Z	25.658831154991844	0	0.5144852738299333	2.98454190747389	0.002624193330099875
2004-01-02T00:00:00Z	25.49473882150147	0	0.4940617493439704	3.1483398341379076	0.006123117770229572
2004-01-02T01:00:00Z	25.50773255831632	0	0.50487074861758	3.319322159691295	0.01049677332039256
2004-01-02T02:00:00Z	25.366100827034472	0	0.4849135265215282	3.17642421725876	0.01618252553560462
2004-01-02T03:00:00Z	25.313104943311032	0	0.48042927691565773	3.0003157948854944	0.01836935331068698
2004-01-02T04:00:00Z	25.430048574644672	0	0.46176265018713003	3.400213139113925	0.01836935331068698
2004-01-02T05:00:00Z	25.314589941804172	0	0.45734519935961815	3.291849435833924	0.01836935331068698
2004-01-02T06:00:00Z	25.245723136685456	0	0.4651748337836466	3.034496334568858	0.01836935331068698
2004-01-02T07:00:00Z	25.122932323785164	2.5904705135834716	0.45698269312775347	2.796009060947321	0.01880671886570276
2004-01-02T08:00:00Z	25.950818983702675	106.83728390870098	0.5594171077564838	2.7105209921652915	0.024492471080916553
2004-01-02T09:00:00Z	27.048511307339936	287.6992252207115	0.8812369517280626	4.295340239863136	0.04548601772169994
2004-01-02T10:00:00Z	27.593877003940293	380.7206663903002	1.0290660991451146	4.50005634353644	0.07347741324274445
2004-01-02T11:00:00Z	28.29897285095751	572.4154843954785	1.2106101445554887	4.693472249502849	0.12858547317480368
2004-01-02T12:00:00Z	28.33804687380791	606.7980930303138	1.1995932448895779	4.612883267072037	0.2685424507800297
2004-01-02T13:00:00Z	28.45768206491033	667.1639059074564	1.220227800064357	4.640467044162515	0.45529754277200474
2004-01-02T14:00:00Z	28.234561041318216	596.357711869508	1.175313472460471	4.637014852990081	0.8187483189905763
2004-01-02T15:00:00Z	28.060723405216663	521.3910651885308	1.14656786798941	4.64149440594465	1.107409585301358
2004-01-02T16:00:00Z	27.47377775080878	384.01762886213373	0.9149939945568912	4.144757436647162	1.5019133159260896
2004-01-02T17:00:00Z	27.01379946756316	241.0707559762086	0.8006903598879885	4.227607293243206	1.5609576658532944
2004-01-02T18:00:00Z	26.432793807127723	105.89529463103463	0.6346527245945794	3.572325934481011	1.5832633091591286
2004-01-02T19:00:00Z	25.949333985209535	7.535914221333769	0.5218943063707743	3.2637071498414394	1.5920106202594546
2004-01-02T20:00:00Z	25.632472431738847	0	0.44886173488904113	3.162061027723655	1.602944759134863
2004-01-02T21:00:00Z	25.32266462111056	0	0.3670794420319016	3.3127076085095366	1.6917299668031787
2004-01-02T22:00:00Z	25.036059911937286	0	0.3229594090321007	3.2581020321734604	0.2676677196699964
2004-01-02T23:00:00Z	24.653208737928367	0	0.32662002078740077	2.585540010072051	0.7868206334743846
2004-01-03T00:00:00Z	24.644205934563786	0	0.3026197235295276	2.1512912978916288	1.1065348541913247
2004-01-03T01:00:00Z	24.71594992426293	0	0.33833555666985105	2.1918689088216206	1.308597740608871
2004-01-03T02:00:00Z	24.538214167116962	0	0.3046743011013423	2.5007277563327417	1.6624264746170851
