s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_DispSynd
Sterculia_pruriens	89.21001543	0.020249279	0.0019133	0.458054286	0.74992	51.13	0.2937	500	0.00858438	0
Sterculia_speciosa	137.1981945	0.018570666	0.0006281	0.477033698	0.49364	51.31	0.2939	1829.131481	0.00453514	0
Symphonia_globulifera	97.71084436	0.019637018	0.0006332	0.557093333	0.65341	51.41	0.2877	2664.475	0.00129575	0
Symplocos_martinicensis	53.70847778	0.024315343	0.0006069	0.504933333	0.22094	46.48	0.3447	104.9	0.000485897	0
Tachigali_bracteolata	65.91571082	0.030095682	0.0006211	0.3632525	0.3167	48.87	0.3136	665.1779167	0.000485897	2
Tachigali_paraensis	133.4806318	0.019493637	0.0004663	0.519666667	1.03764	50.6	0.295	665.1779167	0.00291544	2
Talisia_simaboides	113.2030984	0.018563803	0.0007376	0.748143528	0.39196	49.33	0.3035	744.2768	0.0022676	0
Tapirira_guianensis	84.99049994	0.019043408	0.00109	0.5567875	0.73928	50.55	0.2899	118.0666667	0.000809848	0
Tetragastris_altissima	84.16636445	0.016824074	0.000648891	0.585299167	0.41072	49.06	0.3162	573.3	0.000809848	0
Tetragastris_panamensis	111.4937008	0.015573921	0.000491845	0.67805	0.59365	45.57	0.354	298.375	0.000971794	0
Theobroma_subincanum	81.76130455	0.01883318	0.000589	0.551228786	0.37564	49.47	0.3088	1036.566667	0.00372529	0
Thyrsodium_guianense	120.4136737	0.01490693	0.000447	0.626415	0.28849	47.47	0.328	500	0.000323951	0
Thyrsodium_puberulum	96.5248118	0.015083119	0.0004472	0.512555714	0.32777	49.72	0.3055	967.6	0.00323939	0
Trichilia_cipo	73.24356621	0.026658754	0.0010236	0.762471429	0.226	47.44	0.3329	109.5065	0.00210559	0
Trymatococcus_oligandrus	74.12123838	0.023320689	0.0004696	0.544315833	0.45285	51.48	0.2923	6940	0.000971794	0
Unonopsis_rufescens	66.84853077	0.021086075	0.0006109	0.5739255	0.191	49.41	0.3055	575.4682857	0.00421119	0
Virola_kwatae	75.75795183	0.022896093	0.00078	0.388145	0.94568	50.22	0.3016	2500	0.00145775	0
Virola_michelii	89.89200448	0.023958061	0.000631	0.472739565	0.8165	49.19	0.3008	2160	0.00842243	0
Virola_multicostata	100.0107656	0.021120977	0.0004771	0.429066667	0.22736	50.15	0.3025	1628.940268	0.000485897	0
Vochysia_guianensis	96.24611539	0.023730827	0.0005822	0.46	0.207	48.57	0.3239	500	0.000161946	2
Vouacapoua_americana	70.24656672	0.025966482	0.0016023	0.689478889	0.67473	51.37	0.2827	20000	0.0129576	0
Xylopia_nitida	99.91768035	0.023214501	0.00097	0.535209444	0.36237	50.21	0.3031	500	0.00550699	0
